what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.I20091216-0000-e3x,org.eclipse.mylyn.monitor.ui,1288717781281
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.I20091216-0000-e3x,org.eclipse.mylyn.tasks.ui,1288717781296
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.I20091216-0000-e3x,org.eclipse.mylyn.team.ui,1288717781296
started,bundle,org.eclipse.team.core,3.5.0.I20091209-0800,org.eclipse.team.core,1288717781296
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20091124-0800,org.eclipse.team.cvs.core,1288717781312
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20091209-0800,org.eclipse.team.cvs.ui,1288717781312
started,bundle,org.eclipse.team.ui,3.5.100.I20091209-0800,org.eclipse.team.ui,1288717781312
started,bundle,org.eclipse.ui,3.6.0.I20091209-1800a,org.eclipse.ui,1288717781328
started,bundle,org.eclipse.ui.console,3.5.0.v20090907,org.eclipse.ui.console,1288717781328
started,bundle,org.eclipse.ui.editors,3.6.0.v20091207-1800,org.eclipse.ui.editors,1288717781343
started,bundle,org.eclipse.ui.forms,3.5.0.v20091203,org.eclipse.ui.forms,1288717781359
started,bundle,org.eclipse.ui.ide,3.6.0.I20091210-1200,org.eclipse.ui.ide,1288717781390
started,bundle,org.eclipse.ui.intro,3.4.0.v20091123,org.eclipse.ui.intro,1288717781781
started,bundle,org.eclipse.ui.navigator,3.4.100.I20091124-0800,org.eclipse.ui.navigator,1288717782031
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20091124-0800,org.eclipse.ui.navigator.resources,1288717782328
started,bundle,org.eclipse.ui.net,1.2.100.I20090714-0800,org.eclipse.ui.net,1288717782328
started,bundle,org.eclipse.ui.views,3.5.0.I20090914-0830,org.eclipse.ui.views,1288717782328
started,bundle,org.eclipse.ui.workbench,3.6.0.I20091209-1800,org.eclipse.ui.workbench,1288717782328
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20091207-1800,org.eclipse.ui.workbench.texteditor,1288717782328
started,bundle,org.eclipse.update.configurator,3.3.100.v20090813,org.eclipse.update.configurator,1288717782328
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,org.eclipse.emf.common,1288717782328
started,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,org.eclipse.emf.common.ui,1288717782328
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,org.eclipse.emf.ecore,1288717782328
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,org.eclipse.emf.ecore.xmi,1288717782703
started,bundle,org.eclipse.emf.edit,2.5.0.v200906151043,org.eclipse.emf.edit,1288717782703
