what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,org.eclipse.emf.edit.ui,1288717782703
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.1.R200809220400,org.eclipse.epp.usagedata.gathering,1288717782703
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1288717782703
started,bundle,org.eclipse.jdt.core,3.5.0.v_963,org.eclipse.jdt.core,1288717782875
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,org.eclipse.jdt.core.manipulation,1288717782875
started,bundle,org.eclipse.jdt.ui,3.5.0.v20090604,org.eclipse.jdt.ui,1288717782875
started,bundle,org.eclipse.jem,2.0.300.v200901272200,org.eclipse.jem,1288717783109
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1288717783125
started,bundle,org.eclipse.jem.util,2.0.200.v200905140200,org.eclipse.jem.util,1288717783265
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.0.v200906080500,org.eclipse.jst.common.project.facet.core,1288717783265
started,bundle,org.eclipse.jst.j2ee,1.1.300.v200905290632,org.eclipse.jst.j2ee,1288717783265
started,bundle,org.eclipse.jst.j2ee.core,1.1.300.v200905060430,org.eclipse.jst.j2ee.core,1288717783484
started,bundle,org.eclipse.jst.j2ee.ui,1.1.300.v200905132034,org.eclipse.jst.j2ee.ui,1288717783500
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.300.v200901220600,org.eclipse.jst.j2ee.webservice,1288717783500
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.300.v200902052230,org.eclipse.jst.j2ee.webservice.ui,1288717783500
started,bundle,org.eclipse.jst.jee,1.0.200.v200905290632,org.eclipse.jst.jee,1288717783500
started,bundle,org.eclipse.jst.jsf.common,1.1.5.v20090505,org.eclipse.jst.jsf.common,1288717783828
started,bundle,org.eclipse.jst.jsf.core,1.2.0.v20090514,org.eclipse.jst.jsf.core,1288717783875
started,bundle,org.eclipse.m2m.atl.adt.editor,2.0.1.v200809170426,org.eclipse.m2m.atl.adt.editor,1288717784062
started,bundle,org.eclipse.m2m.atl.adt.wizard,2.0.1.v200809170426,org.eclipse.m2m.atl.adt.wizard,1288717784140
started,bundle,org.eclipse.m2m.atl.engine.vm,2.0.1.v200809170426,org.eclipse.m2m.atl.engine.vm,1288717784140
started,bundle,org.eclipse.stp.eid,0.8.0.200806121858,org.eclipse.stp.eid,1288717784140
started,bundle,org.eclipse.stp.soas.deploy.core,0.8.0.200806121858,org.eclipse.stp.soas.deploy.core,1288717784140
started,bundle,org.eclipse.stp.soas.deploy.util,0.8.0.200806121858,org.eclipse.stp.soas.deploy.util,1288717784140
started,bundle,org.eclipse.wst.common.emf,1.1.300.v200905060430,org.eclipse.wst.common.emf,1288717784593
