what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.I20091216-0000-e3x,org.eclipse.mylyn.monitor.ui,1296396716750
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.I20091216-0000-e3x,org.eclipse.mylyn.tasks.ui,1296396716781
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.I20091216-0000-e3x,org.eclipse.mylyn.team.ui,1296396716781
started,bundle,org.eclipse.team.core,3.5.0.I20091209-0800,org.eclipse.team.core,1296396716781
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20091124-0800,org.eclipse.team.cvs.core,1296396716781
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20091209-0800,org.eclipse.team.cvs.ui,1296396716781
started,bundle,org.eclipse.team.ui,3.5.100.I20091209-0800,org.eclipse.team.ui,1296396716781
started,bundle,org.eclipse.ui,3.6.0.I20091209-1800a,org.eclipse.ui,1296396716796
started,bundle,org.eclipse.ui.console,3.5.0.v20090907,org.eclipse.ui.console,1296396716796
started,bundle,org.eclipse.ui.editors,3.6.0.v20091207-1800,org.eclipse.ui.editors,1296396716796
started,bundle,org.eclipse.ui.forms,3.5.0.v20091203,org.eclipse.ui.forms,1296396716796
started,bundle,org.eclipse.ui.ide,3.6.0.I20091210-1200,org.eclipse.ui.ide,1296396716828
started,bundle,org.eclipse.ui.net,1.2.100.I20090714-0800,org.eclipse.ui.net,1296396716828
started,bundle,org.eclipse.ui.views,3.5.0.I20090914-0830,org.eclipse.ui.views,1296396716828
started,bundle,org.eclipse.ui.workbench,3.6.0.I20091209-1800,org.eclipse.ui.workbench,1296396716828
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20091207-1800,org.eclipse.ui.workbench.texteditor,1296396716843
started,bundle,org.eclipse.update.configurator,3.3.100.v20090813,org.eclipse.update.configurator,1296396716843
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,org.eclipse.emf.common,1296396716843
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,org.eclipse.emf.ecore,1296396716843
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.1.R200809220400,org.eclipse.epp.usagedata.gathering,1296396716843
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1296396716843
started,bundle,org.eclipse.jdt.core,3.5.0.v_963,org.eclipse.jdt.core,1296396716843
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,org.eclipse.jdt.core.manipulation,1296396716843
started,bundle,org.eclipse.jdt.ui,3.5.0.v20090604,org.eclipse.jdt.ui,1296396716859
started,bundle,org.eclipse.jem.util,2.0.200.v200905140200,org.eclipse.jem.util,1296396716859
